Busy%	PkgTmp	PkgWatt
15.13	40	22.81
13.07	42	23.18
13.36	39	23.79
13.49	38	20.09
12.60	42	23.36
10.94	42	21.62
13.83	40	21.58
12.85	41	22.74
13.37	41	22.22
12.92	41	23.32
11.15	39	21.65
12.19	40	18.49
13.02	40	25.19
12.54	34	23.89
13.47	40	21.16
13.18	42	22.48
10.06	40	18.89
12.84	32	24.38
14.50	42	23.60
13.66	37	20.22
11.14	38	24.83
10.08	31	18.93
13.39	42	22.89
12.85	33	22.88
12.39	38	21.77
12.16	41	20.85
14.85	40	24.26
9.21	40	19.19
13.34	40	23.64
12.86	42	19.51
11.35	40	24.01
12.99	32	25.09
10.51	31	18.77
12.68	41	22.48
11.61	40	20.74
12.87	42	22.33
13.68	41	19.86
11.15	42	24.62
18.17	39	27.73
15.41	41	24.16
13.27	43	24.88
13.07	40	22.09
11.87	35	22.57
11.81	33	21.44
11.52	41	18.51
15.78	38	27.05
14.83	40	21.22
16.34	40	25.91
